,2,1,0,
My child can.,YES,SOMETIMES,NOT YET,Score
1. stand without holding on to anything,,,,
2. walk 10-20 steps by himself/herself,,,,
3. run 10-20 steps without falling,,,,
4. walk up 2-3 stairs holding on to someone or something,,,,
5. walk up 2-3 stairs without holding on to someone or something,,,,
6. walk down 2-3 stairs holding on to someone or something,,,,
7. walk down 2-3 stairs without holding on to someone or something,,,,
8. jump with both feet without holding on to anything,,,,
drink from an open cup held by an adult with no or little spilling of liquid 9. from mouth,,,,
hold an open cup and drink by himself/herself with no or little spilling of 10. liquid from mouth,,,,
keep tongue in mouth when drinking from an open cup (held by self or an 11. adult),,,,
12. drink from an open cup holding rim with lips (not biting rim with teeth),,,,
13. use a filled spoon or fork to bring food to mouth,,,,
14. can scoop food onto a spoon or fork and bring to mouth,,,,
15. use a fork to stab a piece of food and bring to mouth,,,,
