,2,1,0,
My child can...,YES,SOMETIMES,NOT YET,Score
16. use tongue to lick food off of top lip,,,,
17. use tongue to lick food from corners of mouth,,,,
18. use upper teeth or lip to clean food from bottom lip,,,,
19. pucker lips to kiss or blow,,,,
20. drink from a straw,,,,
"21. take a bite of hard, crunchy food, such as a carrot stick",,,,
"eat hard, crunchy food, such as a raw carrot stick, without gagging, 22. coughing, or choking",,,,
23. speak using words that people outside our family can understand,,,,
,Complex,Movement Patterns,Subscale Score,
